tweet_id,text,author_name,author_id,place_name,geoJson,place_id,time_created,sentiment
1548884631692480513,@deanc24 both of them violated the mall's no guns policy.,That Bi Kpop Stan,1425436590,"Muncie, IN","{'type': 'Feature', 'bbox': [-85.461887, 40.121825, -85.320813, 40.272656], 'properties': {}}",01c14352f8d6ca6e,2022-07-18T04:17:27.000Z,-0.6808
1548884209695170560,"@bushmoe69 @FOX59 1. It is extremely rare for a armed civilian to stop a mass shooting.
2. Guns are prohibited on mall grounds.",That Bi Kpop Stan,1425436590,"Muncie, IN","{'type': 'Feature', 'bbox': [-85.461887, 40.121825, -85.320813, 40.272656], 'properties': {}}",01c14352f8d6ca6e,2022-07-18T04:15:47.000Z,-0.296
1548882663100088321,@destiny_thememe He needs a holster and a large gun on his right thigh.,ZeAndrew,545510935,"Columbus, IN","{'type': 'Feature', 'bbox': [-85.996969, 39.163203, -85.847755, 39.25966], 'properties': {}}",49f0a5eb038077e9,2022-07-18T04:09:38.000Z,-0.34
1548882585845219328,@Tombs_murrderg @FiorTheDog @SRuhle https://t.co/CYPOmMditX,That Bi Kpop Stan,1425436590,"Muncie, IN","{'type': 'Feature', 'bbox': [-85.461887, 40.121825, -85.320813, 40.272656], 'properties': {}}",01c14352f8d6ca6e,2022-07-18T04:09:19.000Z,0
1548881251280592899,"@manfredsplain @WiGovPR @RussianBot_5000 @Illmcchicken @lookner correction, no one would have had a gun tonight.",That Bi Kpop Stan,1425436590,"Muncie, IN","{'type': 'Feature', 'bbox': [-85.461887, 40.121825, -85.320813, 40.272656], 'properties': {}}",01c14352f8d6ca6e,2022-07-18T04:04:01.000Z,-0.5574
1548878948511240193,@leslibless It is extremely rare that a armed civilian shoots down a mass shooter instead of killing/injuring more innocent people. This person was definitely more trained in what to do during a active shooter situation than most gun owners in the US.,That Bi Kpop Stan,1425436590,"Muncie, IN","{'type': 'Feature', 'bbox': [-85.461887, 40.121825, -85.320813, 40.272656], 'properties': {}}",01c14352f8d6ca6e,2022-07-18T03:54:52.000Z,0.6597
1548876919910825984,"If your argument is ""well at least somebody else had a gun and was able to kill him before he killed anyone else, that's why we should have the second amendment"", I am going to ask you to please shut the fuck up",Michael and 57 others,939278339394727936,"Shelbyville, IN","{'type': 'Feature', 'bbox': [-85.808882, 39.485252, -85.737081, 39.569021], 'properties': {}}",2037586e46d4bbca,2022-07-18T03:46:49.000Z,-0.9349
1548876824775729153,"@toddstarnes Since the shooter more than likely legally purchased the gun used, your statement also supports the mass shooter.",That Bi Kpop Stan,1425436590,"Muncie, IN","{'type': 'Feature', 'bbox': [-85.461887, 40.121825, -85.320813, 40.272656], 'properties': {}}",01c14352f8d6ca6e,2022-07-18T03:46:26.000Z,0.1935
1548875059514806272,@fun_funer @starfruit013 The shooter shouldn't have been able to get a gun in the first place. https://t.co/bpIRpw5zgz,That Bi Kpop Stan,1425436590,"Muncie, IN","{'type': 'Feature', 'bbox': [-85.461887, 40.121825, -85.320813, 40.272656], 'properties': {}}",01c14352f8d6ca6e,2022-07-18T03:39:25.000Z,-0.34
1548871281109516288,"Oh what’s your next bright idea? Compulsory carry?

Maybe don’t weigh in on gun death, huh? https://t.co/mYLtVDltKU",Thomas V. Bona,14752005,"Goshen, IN","{'type': 'Feature', 'bbox': [-85.91235, 41.515957, -85.770099, 41.629644], 'properties': {}}",4fbddb5bf6f19735,2022-07-18T03:24:24.000Z,-0.6046
1548871035335868417,"David H Berry is the racist ""prick"" who pulled a gun on this father and his daughter! #lockhimup https://t.co/cfWrQtbiLt",Chuck Snitchler,34774049,"Hobart, IN","{'type': 'Feature', 'bbox': [-87.317258, 41.499162, -87.209636, 41.565107], 'properties': {}}",5264b8cb7f94920d,2022-07-18T03:23:26.000Z,-0.7712
1548869592927330304,@BubbaYega Ya better get you a gun and start carryin it everywhere!,Jennifer S,412928434,"Schererville, IN","{'type': 'Feature', 'bbox': [-87.493563, 41.449395, -87.392266, 41.523148], 'properties': {}}",34cbdf1e53ef826e,2022-07-18T03:17:42.000Z,0.2003
1548868690296406016,@mnissan22 @ilikefugazi @jens2763 I am HOPING that the “hero” with a gun who was also shooting only shot the original shooter. But honestly I’m not hopeful &amp; totally anticipate that his bullets hit random people,Jennifer S,412928434,"Schererville, IN","{'type': 'Feature', 'bbox': [-87.493563, 41.449395, -87.392266, 41.523148], 'properties': {}}",34cbdf1e53ef826e,2022-07-18T03:14:07.000Z,0.3947
1548868287315992576,"@RonnyJacksonTX You're such a whiny child. I know grade-school kids who wouldn't dream of throwing a tantrum like that. In fact, they'd probably get a kick out of seeing you act like a toddler. Oh, and P.S., nobody's even trying to take your guns, you delusional ass.",Cara Taylor,22633156,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T03:12:30.000Z,-0.466
1548866550781837313,@srinne61 Thanks. I lament for a society that never fully answered nor addressed the issue of gun violence to start with,Tom Spalding,17068359,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T03:05:36.000Z,-0.765
1548861996682158080,💔 it's a gun problem @INDprogressives https://t.co/ZVcKWuuAyf,henok Cronin,980989420060008448,"Carmel, IN","{'type': 'Feature', 'bbox': [-86.241245, 39.926048, -86.023652, 40.000451], 'properties': {}}",eca35cbd75f0a1e6,2022-07-18T02:47:31.000Z,-0.6249
1548861397618016256,"And anyone who tells me that seeing another random person shoot someone else is a ""good Samaritan"" can just get bent. Especially when they illegally have a gun. #greenwoodparkmallshooting",Des,27017884,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:45:08.000Z,-0.2263
1548859883671502849,"@JeffLWatts @FoxMansMum @indgop Well, if everyone can carry a gun, then who needs mall cops? Am I right",Midwest 31,759066138059964421,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:39:07.000Z,-0.0772
1548859425057914880,"It was great someone was there with a gun to stop that shooter - and I’m sure he saved a lot of lives. 

It’d be better if the shooter didn’t have a gun in the first place - and those people were still alive. 

#GunReformNow",k.,42244104,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:37:18.000Z,0.8271
1548858946684952578,"2. It’s ok to think that tighter gun regulations are the right move, and also be thankful that a good guy with a gun stopped this one. You can acknowledge the fact that a hero intervened and saved lives, but also advocate for measures that could prevent the situation all together",Blake Smith,68454586,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:35:23.000Z,0.6597
1548858945707573248,It also doesn’t negate the countless other shootings where good guys with guns have failed to act.,Blake Smith,68454586,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:35:23.000Z,-0.1027
1548858944667402244,"1. Celebrating and trying to “own the libs” because a good guy with a gun stopped the shooting is gross. Three people were killed. The fact that someone killed the shooter and prevented more deaths is something to be grateful about, not celebrate like your team won the super bowl",Blake Smith,68454586,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:35:23.000Z,-0.4953
1548858943115595778,Seeing a lot of truly terrible takes tonight regarding the Greenwood shooting from both sides of the gun violence conversation so just a couple of thoughts:,Blake Smith,68454586,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:35:23.000Z,-0.7717
1548856197608050689,@maduhlinemae I don’t understand the fight guns with more guns fight either… clearly guns are the issue,milf,2426379552,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:24:28.000Z,-0.3612
1548852805980545027,@SenatorBraun @ToddYoungIN  to Hell with your thoughts and prayers for victims of the  #greenwoodparkmallshooting!  It’s time to mandate gun regulations!  Do your jobs and represent your constituents instead of the fracking nra. I dare you. 😾 https://t.co/xI37o6omlN,Myra Lowe 🐾🐈🐾,93782711,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:10:59.000Z,-0.8715
1548851369477537792,"@PistolPete2007 @shannonrwatts nah, you don’t love me…you don’t know me…she doesn’t take a dime, she’s not wrong, and America’s gun culture is sick…hope you and yours are never at a mall, park, church, school when this happens…because it will",Tracy Forner,120116794,"Brownsburg, IN","{'type': 'Feature', 'bbox': [-86.439701, 39.800082, -86.326794, 39.912651], 'properties': {}}",00f424d474454ea0,2022-07-18T02:05:17.000Z,0.6065
1548850470982238208,There has to be a way for America to move past the culture of gun violence without succumbing to this lawless dependence on “Good Samaritans.”,Angela DeCamp,30972456,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T02:01:43.000Z,-0.7579
1548848617989062657,"I am sickened. 
Heartfelt condolences to the victims &amp; families of the victims of today’s Greenwood Park Mall shooting.

We. Do. Not. Have. To. Live. This. Way.

Demand Common-Sense Gun Laws from lawmakers

VOTE them out &amp; replace with those who will

https://t.co/FGfNR7nV2D",Cinde Wirth for Congress,1492952679697498118,"Columbus, IN","{'type': 'Feature', 'bbox': [-85.996969, 39.163203, -85.847755, 39.25966], 'properties': {}}",49f0a5eb038077e9,2022-07-18T01:54:21.000Z,-0.7579
1548847938629238784,"I am so angry and frustrated with this senseless violence on multiple levels. 1. That someone would bring a gun into this public space to harm people. 2. That I can assume I’m surrounded by armed individuals in every public space I’m in, subject to their whims.",Angela DeCamp,30972456,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T01:51:39.000Z,-0.9535
1548845063207280644,@dukedynamite Didn’t you hear? Valuing women’s lives so much that you don’t want them killed by gun violence makes you a misogynist pig,Jason,374299328,"Jeffersonville, IN","{'type': 'Feature', 'bbox': [-85.7574498, 38.2675375, -85.638925, 38.402733], 'properties': {}}",6c0e077597395926,2022-07-18T01:40:13.000Z,-0.8519
1548844518035886087,"Greenwood PD Chief: “Real hero of the day is the citizen…who was able to shot this shooter.”

Police say the man with a gun who took down shooter was 22-year-old from Bartholomew County. @wrtv",Nikki DeMentri,2938441186,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T01:38:03.000Z,0.296
1548844013977047046,@DaveDeLuca5 @dropthetee @David_Leavitt Seatbelts against a foreign invader is different. You can’t invade a country with a gun behind every blade of grass!!,ElToro,1150887641539338246,"Plainfield, IN","{'type': 'Feature', 'bbox': [-86.458669, 39.63067, -86.326295, 39.749143], 'properties': {}}",724e7bdbe5e6b8e2,2022-07-18T01:36:03.000Z,-0.4559
1548842580145852417,"@hedzofhedz If there were no guns and he had a club, wouldn’t you like a person with a bigger club to intervene??",ElToro,1150887641539338246,"Plainfield, IN","{'type': 'Feature', 'bbox': [-86.458669, 39.63067, -86.326295, 39.749143], 'properties': {}}",724e7bdbe5e6b8e2,2022-07-18T01:30:21.000Z,0.168
1548842437992452096,"So there was a shooting in IN at a mall today and a “good guy with a gun” stopped an active shooter before he killed dozens of people. There were casualties, and don’t let them flip the script - the mall is posted as a “gun free zone”. We need gun control - NOW.",𝕊𝕓,2980437016,"Ellettsville, IN","{'type': 'Feature', 'bbox': [-86.641027, 39.1880005, -86.573615, 39.246468], 'properties': {}}",0189ad6f6814c778,2022-07-18T01:29:47.000Z,-0.4215
1548840260964057089,@FeedbackNFuzz But a good guy with a gun stopped it supposedly which means that it’s just gonna be more guns as the answer around here.,brave.murder.cheese,1170282278209146880,"Greenwood, IN","{'type': 'Feature', 'bbox': [-86.25064, 39.5293583, -86.040001, 39.636719], 'properties': {}}",008f15ef5cfd041a,2022-07-18T01:21:08.000Z,-0.1531
1548838104244649984,"Basically you can carry any gun, any place in the wonderful State of Indiana and don’t have to let anyone know. Gun restriction laws are hopeless with this action. #Greenwood #GreenwoodParkMallShooting https://t.co/JPtOyuui2e",Mel Belle,66811211,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T01:12:34.000Z,-0.6369
1548834522208272387,@elksmith3 @bmoore5647 @Mafisonbb12 That was a reply to you suggesting tougher laws. No tougher laws than no guns. You're an idiot.,Wayne,1450322755552006144,"Noblesville, IN","{'type': 'Feature', 'bbox': [-86.090354, 39.993436, -85.9329443, 40.10716], 'properties': {}}",013e3bc05a18abdc,2022-07-18T00:58:20.000Z,-0.6486
1548833084992282624,the news framing it as such only boldens the narrative that we somehow need guns,….And who the hell are they?,56401722,"Richmond, IN","{'type': 'Feature', 'bbox': [-84.976985, 39.793313, -84.813667, 39.8878303], 'properties': {}}",3684a9592c803ad1,2022-07-18T00:52:38.000Z,0
1548833061483298817,"@elksmith3 @bmoore5647 @Mafisonbb12 I never said anything about a gun problem, stupid fuck. And those streets are overly policed as is, and nothing has changed.",Wayne,1450322755552006144,"Noblesville, IN","{'type': 'Feature', 'bbox': [-86.090354, 39.993436, -85.9329443, 40.10716], 'properties': {}}",013e3bc05a18abdc,2022-07-18T00:52:32.000Z,-0.9001
1548831263435509760,@elksmith3 @bmoore5647 @Mafisonbb12 They already have those things correct? They can't buy guns there.,Wayne,1450322755552006144,"Noblesville, IN","{'type': 'Feature', 'bbox': [-86.090354, 39.993436, -85.9329443, 40.10716], 'properties': {}}",013e3bc05a18abdc,2022-07-18T00:45:23.000Z,0
1548830335814836224,"(and I'm glad the shooter was stopped but 1. This is rare that another armed civilian takes out an active shooter 2. I'm still not going to cheer for what amounts to an extra judicial execution 3. I'm honestly calling bullshit on this ""good Samaritan with a gun"" narrative)",❄Snow❄|Love and Thunder spoilers,15646687,"Indianapolis, IN","{'type': 'Feature', 'bbox': [-86.348441, 39.631677, -85.937404, 39.927448], 'properties': {}}",018929347840059e,2022-07-18T00:41:42.000Z,0.025
